;xi;yi;yi_sq;delta_yi;actual_yi;eps
0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
1;0.10000;0.00050;0.00000;0.00050;0.00033;0.00017
2;0.20000;0.00304;0.00151;0.00254;0.00271;0.00033
3;0.30000;0.00981;0.00716;0.00678;0.00934;0.00048
4;0.40000;0.02341;0.01941;0.01359;0.02279;0.00062
5;0.50000;0.04702;0.04134;0.02362;0.04630;0.00072
