;xi;yi;delta_yi;actual_yi;eps
0;0.00000;0.00000;0.00000;0.00000;0.00000
1;0.05000;0.00000;0.00000;0.00004;0.00004
2;0.10000;0.00013;0.00013;0.00033;0.00021
3;0.15000;0.00063;0.00050;0.00114;0.00051
4;0.20000;0.00176;0.00113;0.00271;0.00095
5;0.25000;0.00380;0.00204;0.00534;0.00155
6;0.30000;0.00702;0.00322;0.00934;0.00232
7;0.35000;0.01173;0.00471;0.01503;0.00330
8;0.40000;0.01827;0.00654;0.02279;0.00452
9;0.45000;0.02702;0.00875;0.03306;0.00604
10;0.50000;0.03840;0.01138;0.04630;0.00791
